run,population,commit,scope,selection,F,n_mc,N_per_object,err_per_object,N_all_stars,err_all_stars
bh,bh,a5028fe,Roman footprint only,Roman only,0.01,18007,66.52655504126444,0.8132387496208349,71.63984159369383,1.210370841672086
bh,bh,a5028fe,Roman footprint only,Roman only,0.03,18007,199.5796651237933,2.439716248862504,214.91952478108146,3.6311125250162575
bh,bh,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 1%",0.005,416,0.299015316455084,0.029303864133290922,0.3034620557220079,0.029642381181229804
bh,bh,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 1%",0.01,416,0.598030632910168,0.058607728266581845,0.6069241114440158,0.05928476236245961
bh,bh,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 1%",0.03,416,1.794091898730504,0.1758231847997455,1.8207723343320472,0.1778542870873788
bh,bh,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 5%",0.005,2691,2.944350001219105,0.10982129493179825,3.050389138175794,0.1170422806458185
bh,bh,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 5%",0.01,2691,5.88870000243821,0.2196425898635965,6.100778276351588,0.234084561291637
bh,bh,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 5%",0.03,2691,17.66610000731463,0.6589277695907895,18.30233482905476,0.7022536838749109
bh,bh,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 10%",0.005,4384,5.342129139974029,0.15478055706135474,5.529442199264369,0.16274853205713613
bh,bh,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 10%",0.01,4384,10.684258279948057,0.3095611141227095,11.058884398528738,0.32549706411427226
bh,bh,a5028fe,Roman footprint only,"Roman, sigma(M)/M < 10%",0.03,4384,32.052774839844176,0.9286833423681283,33.17665319558621,0.9764911923428167
bh,bh,a5028fe,Roman footprint only,"joint, sigma(M)/M < 10%",0.005,4936,6.082229779949894,0.1641999769598618,6.292123316434051,0.1725561017766448
bh,bh,a5028fe,Roman footprint only,"joint, sigma(M)/M < 10%",0.01,4936,12.164459559899788,0.3283999539197236,12.584246632868101,0.3451122035532896
bh,bh,a5028fe,Roman footprint only,"joint, sigma(M)/M < 10%",0.03,4936,36.49337867969936,0.9851998617591707,37.752739898604304,1.0353366106598687
